1301,(株)極洋,
1332,日本水産(株),
1334,(株)マルハニチロホールディングス,
1352,(株)ホウスイ,
1377,(株)サカタのタネ,
1379,ホクト(株),
1414,ショーボンドホールディングス(株),
1417,(株)ミライト・ホールディングス,
1514,住石ホールディングス(株),
1515,日鉄鉱業(株),
1518,三井松島産業(株),
1605,国際石油開発帝石(株),
1606,日本海洋掘削(株),
1661,関東天然瓦斯開発(株),
1662,石油資源開発(株),
1712,(株)ダイセキ環境ソリューション,
1719,ハザマ,
1720,東急建設(株),
1721,コムシスホールディングス(株),
1722,ミサワホーム(株),
1762,(株)高松コンストラクショングループ,
1766,東建コーポレーション(株),
1780,(株)ヤマウラ,
1801,大成建設(株),
1802,(株)大林組,
1803,清水建設(株),
1805,飛島建設(株),
1808,(株)長谷工コーポレーション,
1810,松井建設(株),
1812,鹿島,
1813,(株)不動テトラ,
1814,大末建設(株),
1815,鉄建,
1816,安藤建設(株),
1819,太平工業(株),
1820,西松建設(株),
1821,三井住友建設(株),
1822,大豊建設(株),
1824,前田建設工業(株),
1826,佐田建設(株),
1827,(株)ナカノフドー建設,
1833,(株)奥村組,
1834,大和小田急建設(株),
1835,東鉄工業(株),
1847,(株)イチケン,
1852,(株)淺沼組,
1860,戸田建設(株),
1861,(株)熊谷組,
1865,青木あすなろ建設(株),
1866,北野建設(株),
1867,(株)植木組,
1868,三井ホーム(株),
1870,矢作建設工業(株),
1871,(株)ピーエス三菱,
1878,大東建託(株),
1879,新日本建設(株),
1881,(株)NIPPO,
1882,東亜道路工業(株),
1883,前田道路(株),
1884,日本道路(株),
1885,東亜建設工業(株),
1888,若築建設(株),
1890,東洋建設(株),
1893,五洋建設(株),
1896,大林道路(株),
1898,世紀東急工業(株),
1899,(株)福田組,
1911,住友林業(株),
1914,日本基礎技術(株),
1916,日成ビルド工業(株),
1919,エス・バイ・エル(株),
1921,(株)巴コーポレーション,
1924,パナホーム(株),
1925,大和ハウス工業(株),
1926,ライト工業(株),
1928,積水ハウス(株),
1929,日特建設(株),
1930,北陸電気工事(株),
1934,(株)ユアテック,
1937,西部電気工業(株),
1939,(株)四電工,
1941,(株)中電工,
1942,(株)関電工,
1944,(株)きんでん,
1945,(株)東京エネシス,
1946,(株)トーエネック,
1949,住友電設(株),
1950,日本電設工業(株),
1951,(株)協和エクシオ,
1952,新日本空調(株),
1954,日本工営(株),
1956,日本電話施設(株),
1959,(株)九電工,
1961,三機工業(株),
1963,日揮(株),
1964,中外炉工業(株),
1967,(株)ヤマト,
1968,太平電業(株),
1969,高砂熱学工業(株),
1972,三晃金属工業(株),
1973,NECネッツエスアイ(株),
1975,(株)朝日工業社,
1978,アタカ大機(株),
1979,(株)大気社,
1982,日比谷総合設備(株),
1983,東芝プラントシステム(株),
2001,日本製粉(株),
2002,(株)日清製粉グループ本社,
2003,日東富士製粉(株),
2004,昭和産業(株),
2009,鳥越製粉(株),
2052,協同飼料(株),
2053,中部飼料(株),
2056,日本配合飼料(株),
